"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Space-Time Anomaly","WU","R","50467","4.69","8350","6.61","16275","32.5%","53.2%","2753","51.6%","4816","57.9%","7569","55.6%","8507","50.7%","4.9pp"
"Station Monitor","WU","U","108005","4.25","28288","4.98","118228","68.3%","55.7%","21014","58.6%","33325","59.3%","54339","59.0%","62521","52.7%","6.3pp"
"Syr Vondam, Sunstar Exemplar","WB","R","25476","2.69","9230","2.67","41860","73.8%","56.1%","7523","59.5%","10454","59.3%","17977","59.4%","23048","53.0%","6.5pp"
"Syr Vondam, the Lucent","WB","U","107909","4.22","22326","5.29","90244","66.7%","55.3%","15040","54.2%","23011","58.7%","38051","56.9%","50438","53.6%","3.3pp"
"Tannuk, Memorial Ensign","RG","U","104452","4.08","22770","5.15","102825","74.2%","55.2%","17989","55.3%","23959","56.6%","41948","56.0%","60740","54.6%","1.4pp"
"All-Fates Scroll","","U","142094","4.98","25904","6.91","89806","57.7%","53.8%","16499","53.5%","23345","56.0%","39844","55.0%","49501","52.8%","2.2pp"
"Bygone Colossus","","U","167016","6.56","16356","10.25","9653","9.9%","46.8%","1517","40.5%","2418","47.3%","3935","44.7%","5685","48.2%","-3.5pp"
"Chrome Companion","","C","417588","6.76","53696","10.00","108140","33.2%","53.3%","19938","52.4%","27597","53.8%","47535","53.2%","60323","53.3%","-0.1pp"
"Dauntless Scrapbot","","U","91937","3.20","30612","3.96","180375","96.0%","55.6%","32938","56.3%","46362","57.4%","79300","56.9%","100244","54.5%","2.4pp"
"Dawnsire, Sunstar Dreadnought","","M","9806","2.05","3147","2.08","14876","81.0%","50.1%","2435","45.5%","3879","50.2%","6314","48.4%","8406","51.3%","-2.9pp"
"The Dominion Bracelet","","M","19251","3.66","2977","4.98","7009","40.3%","50.4%","1216","45.1%","1675","52.4%","2891","49.4%","4094","51.0%","-1.6pp"
"The Endstone","","M","8140","1.70","5374","1.68","30007","92.9%","54.5%","5068","53.3%","8148","57.8%","13216","56.1%","16506","53.1%","3.0pp"
"The Eternity Elevator","","R","58790","5.27","6250","8.64","1351","3.6%","46.1%","216","","352","","568","41.9%","777","49.4%","-7.5pp"
"Extinguisher Battleship","","R","14910","1.53","10292","1.51","57271","91.1%","55.2%","9415","53.6%","15671","59.8%","25086","57.5%","31595","53.4%","4.1pp"
"Nutrient Block","","C","388624","5.74","64346","8.29","219651","56.4%","54.2%","40412","53.4%","59632","56.1%","100044","55.0%","117931","53.5%","1.5pp"
"Pinnacle Kill-Ship","","C","350956","4.93","64945","7.03","295825","74.3%","55.4%","48591","52.9%","78762","58.8%","127353","56.6%","165606","54.3%","2.3pp"
"Survey Mechan","","U","131906","4.64","28234","6.16","112638","65.4%","54.9%","19120","52.7%","29807","58.7%","48927","56.4%","62812","53.6%","2.8pp"
"Thaumaton Torpedo","","C","429920","7.60","47695","11.21","28064","9.8%","50.6%","4862","45.9%","7268","52.2%","12130","49.7%","15666","51.1%","-1.4pp"
"Thrumming Hivepool","","R","13705","1.41","10987","1.39","66308","98.3%","55.6%","11500","56.6%","17781","58.5%","29281","57.7%","36515","53.7%","4.1pp"
"Virulent Silencer","","U","158546","6.20","15998","9.76","20229","21.3%","49.0%","3667","48.5%","5239","50.5%","8906","49.7%","11241","48.5%","1.2pp"
"Wurmwall Sweeper","","C","385549","5.63","54285","8.42","172441","52.4%","53.9%","32166","53.4%","43274","54.6%","75440","54.1%","95473","53.8%","0.3pp"
